codigo_ibge,microrregiao,atividade,descricao,grupo_vab,variavel_sidra,ano,vab_micro_mil_reais,vab_sc_mil_reais,vab_brasil_mil_reais,peso_micro_brasil,peso_micro_sc,peso_sc_brasil
42001,São Miguel do Oeste,5500,Alojamento,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,5600,Alimentação,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,5800,Edição e edição integrada à impressão,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,5980,"Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem",servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,6100,Telecomunicações,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,6280,Desenvolvimento de sistemas e outros serviços de informação,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,6480,"Intermediação financeira, seguros e previdência complementar",servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,6800,Atividades imobiliárias,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,6980,"Atividades jurídicas, contábeis, consultoria e sedes de empresas ",servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,7180,"Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,7380,"Outras atividades profissionais, científicas e técnicas",servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,7700,Aluguéis não imobiliários e gestão de ativos de propriedade intelectual,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,7880,Outras atividades administrativas e serviços complementares,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,8000,"Atividades de vigilância, segurança e investigação",servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,8400,"Administração pública, defesa e seguridade social",administracao_publica,525,2015,740788.0,28534686.0,885587000.0,0.0008364937606356011,0.025960965542077455,0.03222121146764801
42001,São Miguel do Oeste,8591,Educação pública,administracao_publica,525,2015,740788.0,28534686.0,885587000.0,0.0008364937606356011,0.025960965542077455,0.03222121146764801
42001,São Miguel do Oeste,8592,Educação privada,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,8691,Saúde pública,administracao_publica,525,2015,740788.0,28534686.0,885587000.0,0.0008364937606356011,0.025960965542077455,0.03222121146764801
42001,São Miguel do Oeste,8692,Saúde privada,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,9080,"Atividades artísticas, criativas e de espetáculos",servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,9480,Organizações associativas e outros serviços pessoais,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,9700,Serviços domésticos,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42002,Chapecó,0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",agropecuaria,513,2015,1440029.0,12485693.0,258967000.0,0.005560666030807014,0.11533432705737678,0.04821345190699974
42002,Chapecó,0192,"Pecuária, inclusive o apoio à pecuária",agropecuaria,513,2015,1440029.0,12485693.0,258967000.0,0.005560666030807014,0.11533432705737678,0.04821345190699974
42002,Chapecó,0280,Produção florestal; pesca e aquicultura,agropecuaria,513,2015,1440029.0,12485693.0,258967000.0,0.005560666030807014,0.11533432705737678,0.04821345190699974
42002,Chapecó,0580,Extração de carvão mineral e de minerais não metálicos,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,0680,"Extração de petróleo e gás, inclusive as atividades de apoio",industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
