expoente_fator,codigo_ibge,microrregiao,diretas_gg_co2,totais_gg_co2,variacao_diretas_vs_vab_pct,variacao_totais_vs_vab_pct
0.5,42013,Itajaí,3176.8392959820985,5847.240606438405,2.9933407425962733,3.0324751255997207
0.5,42014,Ituporanga,165.40133148113313,304.85740151414734,-14.253553843431677,-15.53548336419791
0.5,42015,Tijucas,362.984055616665,663.2444495041887,-15.2859734335419,-15.755592385888772
0.5,42016,Florianópolis,3983.749541261726,7085.965733216589,17.73333372187782,13.405758069381335
0.5,42017,Tabuleiro,42.27610295486227,81.82472322602439,-19.052553001782645,-18.612429146922306
0.5,42018,Tubarão,1254.9768386533854,2379.845872708236,-4.874030156792697,-2.486350923607439
0.5,42019,Criciúma,1742.8624506117403,3407.12482865305,-9.719108460220937,-3.573250459306876
0.5,42020,Araranguá,420.2180217631039,777.1456711595471,-17.97833621332947,-18.66589126099636
1.0,42001,São Miguel do Oeste,538.2053750508474,967.8728622629649,-15.001785103622755,-17.967116654465364
1.0,42002,Chapecó,2112.498939982575,3767.05621337789,10.398637531334188,6.665748542260608
1.0,42003,Xanxerê,426.41791422316044,814.579616751152,-24.888153106694354,-23.012524305784854
1.0,42004,Joaçaba,1780.289151633934,3218.7326438923865,8.338724379494856,6.255406520492701
1.0,42005,Concórdia,810.7584866472482,1473.7847651167426,-8.311641919995004,-9.33240798293471
1.0,42006,Canoinhas,580.5986111885118,1065.6672311835118,-29.311874588687036,-30.37465644085686
1.0,42007,São Bento do Sul,439.3798737448639,764.4938868271983,-32.98263865489183,-36.32524890518849
1.0,42008,Joinville,6771.771618939981,13187.23970270013,7.020115018761852,14.24663465552607
1.0,42009,Curitibanos,547.6466849565456,985.076172456766,-7.979041679211463,-10.398468443813991
1.0,42010,Campos de Lages,853.7270413715447,1526.3628148704627,-17.92337457677081,-20.775924600895735
1.0,42011,Rio do Sul,578.790433961686,1007.3012226992869,-27.283931439805432,-31.57146188279848
1.0,42012,Blumenau,4158.41268194359,7079.819243492213,-6.757148288677617,-13.041387962411976
1.0,42013,Itajaí,3233.0425298308814,5954.298371891364,4.815453312767692,4.91890794040275
1.0,42014,Ituporanga,159.7483343947495,289.15759043850204,-17.184149419357396,-19.885310356068576
1.0,42015,Tijucas,347.08708441512454,659.5837067977616,-18.996043944505935,-16.22057494392023
1.0,42016,Florianópolis,4645.996897072836,8080.89877267512,37.30499306958033,29.328941981936076
1.0,42017,Tabuleiro,35.37006082254351,68.60498202483701,-32.27577937319619,-31.761543268567028
1.0,42018,Tubarão,1254.0811853522289,2413.310053708946,-4.941919767414671,-1.1151636378448626
1.0,42019,Criciúma,1626.1823612792493,3483.5071448020535,-15.76317836727582,-1.411516199764129
1.0,42020,Araranguá,341.40819229690106,632.2397835108126,-33.36109706789806,-33.83137652369997
1.5,42001,São Miguel do Oeste,509.9344209745414,896.0132638879852,-19.46658746587423,-24.057637714193238
1.5,42002,Chapecó,2191.5023442593197,3871.3494398368484,14.527334605407848,9.618854213640283
1.5,42003,Xanxerê,369.66315496321465,725.6192541692233,-34.885281852482706,-31.420338116963332
1.5,42004,Joaçaba,1798.0245707783147,3239.725172044999,9.418005621350666,6.948402758307393
1.5,42005,Concórdia,815.1224124319066,1496.670381748839,-7.81812727097424,-7.924479362032244
1.5,42006,Canoinhas,516.1825584665083,965.3753247380398,-37.15455613419334,-36.92722579659504
1.5,42007,São Bento do Sul,412.9489160718082,709.9569339976356,-37.014077386882995,-40.86763564853313
1.5,42008,Joinville,6504.878067375822,12777.85291466769,2.8021673097348154,10.699943774070043
1.5,42009,Curitibanos,574.7540396114931,1031.0282867811477,-3.4241985268463893,-6.21871063742947
1.5,42010,Campos de Lages,789.0252784168747,1402.8736460065315,-24.14374959701322,-27.185485374871398
1.5,42011,Rio do Sul,521.5918048754484,866.9118132160245,-34.470054758594294,-41.108472105355055
1.5,42012,Blumenau,3896.368148917085,6472.385711066627,-12.63289497463017,-20.502253143874327
1.5,42013,Itajaí,3314.3393657908755,6121.399894531269,7.451102128215292,7.863353813878238
1.5,42014,Ituporanga,180.40613584984354,319.97631748780384,-6.474845906982996,-11.346600550693575
1.5,42015,Tijucas,355.6866643386744,710.7298927973638,-16.989054847240105,-9.724055984012326
1.5,42016,Florianópolis,5355.984117497169,9240.505459041793,58.2875276126561,47.887608546365
1.5,42017,Tabuleiro,31.366704959181014,60.449923731901016,-39.94113672438192,-39.873032784931326
1.5,42018,Tubarão,1318.306973662176,2502.181183178781,-0.07367023981071918,2.526310892723016
1.5,42019,Criciúma,1511.0571674948542,3517.2019095503388,-21.726704134841068,-0.457903753900224
1.5,42020,Araranguá,274.27061237388864,511.3800589992627,-46.46557075227623,-46.480250911588485
